r_A,g_r,pmf_kcal_mol
5.098643940122418,2.7654554474849564,-0.6064183867825885
5.114404817835315,2.212156862477756,-0.47333293675803423
5.1301656955482136,2.509496456030773,-0.5485172871026676
5.145926573261111,2.60450842847699,-0.5706717332167677
5.161687450974009,2.303439572307125,-0.49743900021930126
5.177448328686907,2.660107686603737,-0.58326423902106
5.193209206399804,2.080513472524857,-0.43675649559516233
5.208970084112702,2.0248602984932607,-0.4205921709084989
5.2247309618256,1.7985493625377533,-0.34993497530228906
5.240491839538498,1.787747296833256,-0.3463436425914827
5.256252717251395,1.5443343409002803,-0.2590874796605676
5.272013594964293,1.4930565313927915,-0.23895655282909453
5.2877744726771905,1.5050731096425096,-0.24373543652548227
5.303535350390089,1.5169206867448841,-0.24840990166365104
5.319296228102987,1.4046609570586508,-0.2025731786330906
5.335057105815884,1.334769165173954,-0.17214654319552133
5.350817983528781,1.2452611365835784,-0.13076513772041384
5.366578861241679,1.400312664770433,-0.20072482944697603
5.3823397389545775,1.5333536683632571,-0.2548334558588872
5.398100616667475,1.4040644726801665,-0.2023199670786013
5.413861494380372,0.9970723787162156,0.0017478941418201557
5.42962237209327,1.3679833260020948,-0.18679974722271644
5.445383249806168,1.4389209114637085,-0.21693917606072613
5.461144127519066,1.4110298060096145,-0.20527011350203642
5.476905005231964,1.3054954296312447,-0.1589262156571372
5.492665882944861,1.2980141009974113,-0.15550000169166603
5.508426760657759,1.3291221783351925,-0.16961902294176362
5.524187638370657,1.3981603808569583,-0.1998078233102483
5.539948516083554,1.333084132125197,-0.1713934646738984
5.555709393796452,1.2497866239120872,-0.1329277600905331
5.57147027150935,1.299213233249257,-0.15605049351774689
5.587231149222248,1.179555155274044,-0.09844850378497264
5.602992026935146,1.0426030741305383,-0.024872169558058845
5.618752904648043,1.1293302272861574,-0.07250795327393855
5.634513782360941,1.0125600409497373,-0.007441175938037797
5.650274660073839,1.2449181013548825,-0.1306008890574657
5.666035537786737,1.256207817923564,-0.13598289479783354
5.681796415499634,1.231143188780927,-0.12396764974503084
5.697557293212531,0.846235905482708,0.09953335614934207
5.7133181709254295,1.3071247365681857,-0.15966978318069994
5.729079048638328,1.2643278807588778,-0.1398240491977751
5.744839926351225,1.3282395149322466,-0.16922298372688258
5.760600804064123,1.0920112853899158,-0.05247483393776579
5.77636168177702,0.8933721699018607,0.06721838371485614
5.792122559489918,0.8885168983530856,0.07046721875576019
5.8078834372028165,1.0396483534440857,-0.02318025946717313
5.823644314915714,0.8961581601569361,0.06536214167057798
5.839405192628611,1.2855679768176314,-0.1497560741712386
5.855166070341509,1.1081688260253322,-0.06123109204253181
5.870926948054407,1.051354904777963,-0.02985558618578172
5.8866878257673045,0.8770661350391742,0.07820018483852066
5.902448703480203,1.1911457820638585,-0.1042779504874951
5.9182095811931,0.9678728884918836,0.019467355153421958
5.933970458905998,0.9959361686720564,0.0024276347798979385
5.949731336618896,1.1227555677879189,-0.06902711942916474
5.965492214331793,1.215374639794126,-0.11628266365931553
5.981253092044691,1.143627786727239,-0.08000810329252818
5.997013969757589,1.2513869555884498,-0.13369064663195498
6.012774847470487,1.180168442458224,-0.09875838588357728
6.028535725183384,0.981018459143897,0.011424835560475315
6.044296602896282,1.0878985569121282,-0.05022533523880134
6.06005748060918,0.9549239546289643,0.027497084421538295
6.075818358322078,1.029140854317099,-0.017124333183067563
6.091579236034976,0.8663111843678877,0.08555575369635571
6.107340113747873,0.8775155940340038,0.07789475588230481
6.12310099146077,0.9821294501620801,0.010750072503155716
6.1388618691736685,0.9460740777248416,0.03304784410225841
6.154622746886567,0.9875250724812263,0.007483846017664228
6.170383624599464,1.013189399280724,-0.007811605805949465
6.186144502312361,0.977486768764371,0.013574903002493909
6.201905380025259,0.9269378121594257,0.04523003755332499
6.217666257738157,1.0583133218698353,-0.033788293218504864
6.2334271354510555,0.9326290803135728,0.04158088244039111
6.249188013163953,0.9728305799185539,0.016421459789908333
6.26494889087685,1.0126162402459145,-0.007474263271573954
6.280709768589748,0.9630901649661826,0.02242057599878486
6.296470646302646,1.0762162287155006,-0.04378887554196863
6.3122315240155435,0.9094878332692543,0.05655999694443114
6.327992401728441,0.963347738988667,0.022261156744564272
6.343753279441339,0.9004719051251067,0.06249934593128621
6.359514157154237,1.228406472035033,-0.1226409637092043
